ID,Sex,PC,YearTagged,DateTagged,DamGenID,DamSource,SireGenID,SireSource,BirthDate,TimeToRecovery,Domestication_Index,DamID,SireID
YI02,F,55,2021,1/19/21,140551,captive,140552,captive,2/21/20,47.57142857,8.6294,YC27,YL17
YI25,F,55,2021,1/26/21,140551,captive,140552,captive,2/21/20,48.57142857,8.6294,YC27,YL17
YI38,F,55,2021,2/3/21,140551,captive,140552,captive,2/21/20,49.71428571,8.6294,YC27,YL17
YI57,F,56,2021,2/17/21,140561,captive,140562,captive,2/21/20,51.71428571,6.98485,YK11,YR14
YI37,F,56,2021,2/3/21,140561,captive,140562,captive,2/21/20,49.71428571,6.98485,YK11,YR14
YJ57,F,57,2021,2/22/21,140571,captive,140572,wild,2/21/20,52.42857143,2.6577,YN13,RZ16
YI43,F,58,2021,2/9/21,140581,captive,140582,captive,2/25/20,50,8.9009,YA33,YG52
YI27,F,58,2021,1/26/21,140581,captive,140582,captive,2/25/20,48,8.9009,YA33,YG52
YJ25,F,61,2021,2/8/21,140611,captive,140612,captive,2/25/20,49.85714286,7.1377,YJ22,YJ10
YJ93,F,62,2021,3/30/21,140621,captive,140622,wild,2/25/20,57,4.145,YR12,RZ33
YJ01,F,64,2021,1/20/21,140641,captive,140642,wild,2/25/20,47.14285714,4.0342,YO14,RZ29
YJ65,F,64,2021,3/2/21,140641,captive,140642,wild,2/25/20,53,4.0342,YO14,RZ29
YJ02,F,66,2021,1/20/21,140661,captive,140662,wild,2/28/20,46.71428571,4.5364,YJ53,RZ30
YJ24,F,66,2021,2/8/21,140661,captive,140662,wild,2/28/20,49.42857143,4.5364,YJ53,RZ30
YK42,F,67,2021,2/8/21,140671,captive,140672,captive,2/28/20,49.42857143,9.0469,YO12,YB47
YK11,F,68,2021,1/20/21,140681,captive,140682,captive,2/28/20,46.71428571,8.63915,YS04,YD00
YK12,F,68,2021,1/20/21,140681,captive,140682,captive,2/28/20,46.71428571,8.63915,YS04,YD00
YK21,F,69,2021,1/26/21,140691,captive,140692,captive,2/28/20,47.57142857,9.15745,YT05,YF12
YL04,F,71,2021,1/20/21,140711,captive,140712,captive,3/3/20,46.14285714,7.5835,YA77,YG59
YL06,F,73,2021,2/1/21,140731,captive,140732,captive,3/3/20,47.85714286,8.781,YK04,YV00
YL05,F,73,2021,1/20/21,140731,captive,140732,captive,3/3/20,46.14285714,8.781,YK04,YV00
YL48,F,76,2021,3/30/21,140761,wild,140762,captive,3/3/20,56,2.7771,RZ06,YI41
YL11,F,77,2021,2/8/21,140771,captive,140772,captive,3/3/20,48.85714286,7.386,YR19,YI44
YL24,F,78,2021,3/9/21,140781,captive,140782,captive,3/6/20,52.57142857,8.83375,YB28,YS08
YN06,F,79,2021,2/8/21,140791,captive,140792,captive,3/6/20,48.42857143,6.44675,YJ33,YN48
YN07,F,79,2021,2/8/21,140791,captive,140792,captive,3/6/20,48.42857143,6.44675,YJ33,YN48
YN21,F,79,2021,3/9/21,140791,captive,140792,captive,3/6/20,52.57142857,6.44675,YJ33,YN48
YN08,F,82,2021,2/8/21,140821,captive,140822,wild,3/6/20,48.42857143,5.77125,YT15,RZ34
YN29,F,82,2021,3/9/21,140821,captive,140822,wild,3/6/20,52.57142857,5.77125,YT15,RZ34
YN20,F,82,2021,3/9/21,140821,captive,140822,wild,3/6/20,52.57142857,5.77125,YT15,RZ34
YO25,F,82,2021,3/9/21,140821,captive,140822,wild,3/6/20,52.57142857,5.77125,YT15,RZ34
YO03,F,82,2021,1/20/21,140821,captive,140822,wild,3/6/20,45.71428571,5.77125,YT15,RZ34
YN23,F,83,2021,3/9/21,140831,captive,140832,wild,3/6/20,52.57142857,4.47315,YI38,RZ32
YN10,F,83,2021,2/8/21,140831,captive,140832,wild,3/6/20,48.42857143,4.47315,YI38,RZ32
YN26,F,84,2021,3/9/21,140841,captive,140842,wild,3/6/20,52.57142857,5.0381,YN36,RZ22
YO26,F,84,2021,3/9/21,140841,captive,140842,wild,3/6/20,52.57142857,5.0381,YN36,RZ22
YO32,F,84,2021,3/9/21,140841,captive,140842,wild,3/6/20,52.57142857,5.0381,YN36,RZ22
YN25,F,85,2021,3/9/21,140851,captive,140852,captive,3/10/20,52,9.01175,YD39,OG11
YN05,F,88,2021,2/8/21,140881,captive,140882,captive,3/10/20,47.85714286,9.25315,YP16,OA06
YO47,F,89,2021,3/30/21,140891,captive,140892,wild,3/10/20,55,5.19335,YT17,RZ27
YO23,F,89,2021,3/9/21,140891,captive,140892,wild,3/10/20,52,5.19335,YT17,RZ27
YN97,F,89,2021,4/14/21,140891,captive,140892,wild,3/10/20,57.14285714,5.19335,YT17,RZ27
YO46,F,89,2021,3/30/21,140891,captive,140892,wild,3/10/20,55,5.19335,YT17,RZ27
YO13,F,94,2021,2/1/21,140941,wild,140942,captive,3/10/20,46.85714286,4.3164,RZ39,OA03
YO31,F,94,2021,3/9/21,140941,wild,140942,captive,3/10/20,52,4.3164,RZ39,OA03
YO02,F,95,2021,1/20/21,140951,wild,140952,captive,3/10/20,45.14285714,3.6743,RZ13,OH11
YP18,F,96,2021,3/9/21,140961,wild,140962,captive,3/10/20,52,3.12425,RZ11,YX12
YO44,F,96,2021,3/30/21,140961,wild,140962,captive,3/10/20,55,3.12425,RZ11,YX12
YP34,F,96,2021,3/30/21,140961,wild,140962,captive,3/10/20,55,3.12425,RZ11,YX12
YO00,F,97,2021,1/20/21,140971,captive,140972,captive,3/10/20,45.14285714,8.39795,YR11,OD05
YO11,F,97,2021,2/1/21,140971,captive,140972,captive,3/10/20,46.85714286,8.39795,YR11,OD05
YP03,F,98,2021,2/1/21,140981,captive,140982,wild,3/10/20,46.85714286,3.2737,OH04,RZ62
YR07,F,98,2021,2/1/21,140981,captive,140982,wild,3/10/20,46.85714286,3.2737,OH04,RZ62
YR20,F,98,2021,2/23/21,140981,captive,140982,wild,3/10/20,50,3.2737,OH04,RZ62
YT62,F,98,2021,4/20/21,140981,captive,140982,wild,3/10/20,58,3.2737,OH04,RZ62
YP55,F,98,2021,4/14/21,140981,captive,140982,wild,3/10/20,57.14285714,3.2737,OH04,RZ62
YP02,F,99,2021,2/1/21,140991,captive,140992,captive,3/13/20,46.42857143,8.68165,YC21,OH10
YP58,F,100,2021,4/14/21,141001,captive,141002,captive,3/13/20,56.71428571,8.45975,YC44,OF46
YR06,F,105,2021,2/1/21,141051,captive,141052,captive,3/13/20,46.42857143,7.94435,YI02,YL41
YR27,F,105,2021,3/9/21,141051,captive,141052,captive,3/13/20,51.57142857,7.94435,YI02,YL41
YS76,F,106,2021,4/27/21,141061,captive,141062,wild,3/13/20,58.57142857,3.34865,YJ28,RZ51
YS74,F,110,2021,4/20/21,141101,wild,141102,captive,3/13/20,57.57142857,3.0591,RZ36,OB04
YR33,F,110,2021,3/9/21,141101,wild,141102,captive,3/13/20,51.57142857,3.0591,RZ36,OB04
YT58,F,111,2021,4/20/21,141111,wild,141112,captive,3/13/20,57.57142857,3.3943,RZ14,OC10
YS65,F,112,2021,4/20/21,141121,captive,141122,wild,3/13/20,57.57142857,5.0381,OF09,RZ64
YR50,F,112,2021,3/30/21,141121,captive,141122,wild,3/13/20,54.57142857,5.0381,OF09,RZ64
YS69,F,112,2021,4/20/21,141121,captive,141122,wild,3/13/20,57.57142857,5.0381,OF09,RZ64
YR01,F,114,2021,2/1/21,141141,captive,141142,wild,3/17/20,45.85714286,4.0581,YR17,RZ60
YR15,F,114,2021,2/23/21,141141,captive,141142,wild,3/17/20,49,4.0581,YR17,RZ60
YR30,F,114,2021,3/9/21,141141,captive,141142,wild,3/17/20,51,4.0581,YR17,RZ60
YS01,F,115,2021,1/19/21,141151,captive,141152,captive,3/17/20,44,8.0437,YT06,OC04
YS80,F,118,2021,4/27/21,141181,captive,141182,captive,3/17/20,58,8.43555,OG03,YS16
YS71,F,119,2021,4/20/21,141191,captive,141192,captive,3/17/20,57,6.15525,OG21,OF20
YS78,F,119,2021,4/27/21,141191,captive,141192,captive,3/17/20,58,6.15525,OG21,OF20
YS81,F,119,2021,4/27/21,141191,captive,141192,captive,3/17/20,58,6.15525,OG21,OF20
YT53,F,120,2021,3/30/21,141201,wild,141202,captive,3/17/20,54,2.7605,RZ50,OB06
YT23,F,122,2021,3/9/21,141221,captive,141222,captive,3/17/20,51,8.15575,YJ48,OC08
YT10,F,123,2021,2/23/21,141231,captive,141232,wild,3/17/20,49,3.2737,OH02,RZ49
YT52,F,123,2021,3/30/21,141231,captive,141232,wild,3/17/20,54,3.2737,OH02,RZ49
YT22,F,124,2021,3/9/21,141241,captive,141242,captive,3/17/20,51,8.72875,OH17,OA04
YT68,F,124,2021,4/20/21,141241,captive,141242,captive,3/17/20,57,8.72875,OH17,OA04
YT70,F,125,2021,4/20/21,141251,captive,141252,captive,3/20/20,56.57142857,7.56565,YL36,OH20
YV00,F,127,2021,1/21/21,141271,captive,141272,captive,3/20/20,43.85714286,8.47215,OD11,YP00
YV62,F,128,2021,4/20/21,141281,captive,141282,wild,3/20/20,56.57142857,5.25295,OG27,RZ65
YV47,F,128,2021,3/30/21,141281,captive,141282,wild,3/20/20,53.57142857,5.25295,OG27,RZ65
YV65,F,130,2021,4/20/21,141301,captive,141302,wild,3/24/20,56,4.2522,YA83,RZ47
YV18,F,130,2021,2/23/21,141301,captive,141302,wild,3/24/20,48,4.2522,YA83,RZ47
YV21,F,133,2021,3/9/21,141331,captive,141332,captive,3/24/20,50,7.61255,OG04,OF18
YV28,F,133,2021,3/9/21,141331,captive,141332,captive,3/24/20,50,7.61255,OG04,OF18
YV09,F,134,2021,2/23/21,141341,captive,141342,captive,3/24/20,48,8.03735,YG22,OB01
YV06,F,134,2021,2/9/21,141341,captive,141342,captive,3/24/20,46,8.03735,YG22,OB01
YX40,F,136,2021,2/23/21,141361,captive,141362,wild,3/26/20,47.71428571,5.0935,YP17,RZ66
YX64,F,136,2021,3/9/21,141361,captive,141362,wild,3/26/20,49.71428571,5.0935,YP17,RZ66
YX23,F,136,2021,2/16/21,141361,captive,141362,wild,3/26/20,46.71428571,5.0935,YP17,RZ66
YX25,F,137,2021,2/16/21,141371,captive,141372,captive,3/31/20,46,8.0266,YA71,OC20
YX08,F,137,2021,2/2/21,141371,captive,141372,captive,3/31/20,44,8.0266,YA71,OC20
YX22,F,140,2021,2/16/21,141401,captive,141402,captive,3/31/20,46,6.9761,YI37,OB02
YX88,F,144,2021,3/16/21,141441,captive,141442,captive,3/31/20,50,7.12915,YL07,OF37
OA23,F,146,2021,2/2/21,141461,captive,141462,captive,3/31/20,44,8.7998,YR45,YF49
OA32,F,146,2021,2/16/21,141461,captive,141462,captive,3/31/20,46,8.7998,YR45,YF49
OA55,F,146,2021,2/23/21,141461,captive,141462,captive,3/31/20,47,8.7998,YR45,YF49
OA41,F,148,2021,2/16/21,141481,captive,141482,captive,3/31/20,46,8.55325,OD03,OH26
OA36,F,148,2021,2/16/21,141481,captive,141482,captive,3/31/20,46,8.55325,OD03,OH26
OA00,F,153,2021,1/21/21,141531,captive,141532,captive,4/3/20,41.85714286,8.4209,YI46,YA01
OB57,F,155,2021,4/6/21,141551,captive,141552,captive,4/3/20,52.57142857,7.7429,YL30,YD68
OB03,F,156,2021,2/9/21,141561,captive,141562,captive,4/3/20,44.57142857,9.24465,YX17,YF41
OB23,F,156,2021,2/23/21,141561,captive,141562,captive,4/3/20,46.57142857,9.24465,YX17,YF41
OB40,F,158,2021,3/16/21,141581,captive,141582,captive,4/3/20,49.57142857,8.49805,OC01,OC12
OA56,F,163,2021,2/23/21,141631,wild,141632,captive,4/3/20,46.57142857,3.2737,RZ56,OH07
OB39,F,163,2021,3/16/21,141631,wild,141632,captive,4/3/20,49.57142857,3.2737,RZ56,OH07
OB24,F,163,2021,2/23/21,141631,wild,141632,captive,4/3/20,46.57142857,3.2737,RZ56,OH07
OB34,F,163,2021,3/16/21,141631,wild,141632,captive,4/3/20,49.57142857,3.2737,RZ56,OH07
OA22,F,164,2021,2/2/21,141641,captive,141642,captive,4/3/20,43.57142857,7.55615,YJ54,YN27
OA35,F,164,2021,2/16/21,141641,captive,141642,captive,4/3/20,45.57142857,7.55615,YJ54,YN27
OB04,F,166,2021,2/9/21,141661,captive,141662,captive,4/7/20,44,8.1697,YC59,OC05
OB26,F,166,2021,2/23/21,141661,captive,141662,captive,4/7/20,46,8.1697,YC59,OC05
OB35,F,166,2021,3/16/21,141661,captive,141662,captive,4/7/20,49,8.1697,YC59,OC05
OC30,F,170,2021,3/16/21,141701,captive,141702,captive,4/7/20,49,9.08935,YL37,YG61
OC28,F,170,2021,3/16/21,141701,captive,141702,captive,4/7/20,49,9.08935,YL37,YG61
OC15,F,171,2021,2/23/21,141711,captive,141712,wild,4/7/20,46,3.74975,YN37,RZ44
OC49,F,171,2021,4/6/21,141711,captive,141712,wild,4/7/20,52,3.74975,YN37,RZ44
OC31,F,172,2021,3/16/21,141721,captive,141722,captive,4/7/20,49,8.54785,OA16,YG04
OC13,F,172,2021,2/23/21,141721,captive,141722,captive,4/7/20,46,8.54785,OA16,YG04
OC06,F,173,2021,2/9/21,141731,captive,141732,captive,4/7/20,44,8.8987,OD12,YH60
OF02,F,174,2021,2/23/21,141741,captive,141742,wild,4/7/20,46,3.18455,OF49,RZ26
OD22,F,174,2021,3/16/21,141741,captive,141742,wild,4/7/20,49,3.18455,OF49,RZ26
OC07,F,175,2021,2/23/21,141751,captive,141752,captive,4/7/20,46,9.4839,OG24,OF65
OC27,F,176,2021,3/16/21,141761,captive,141762,captive,4/7/20,49,8.77275,OG23,OH12
OD24,F,184,2021,3/16/21,141841,wild,141842,captive,4/10/20,48.57142857,4.1897,RZ53,YL38
OD23,F,184,2021,3/16/21,141841,wild,141842,captive,4/10/20,48.57142857,4.1897,RZ53,YL38
OD64,F,184,2021,4/20/21,141841,wild,141842,captive,4/10/20,53.57142857,4.1897,RZ53,YL38
OD00,F,187,2021,2/2/21,141871,captive,141872,captive,4/10/20,42.57142857,7.7361,YJ52,OA13
OD21,F,187,2021,3/16/21,141871,captive,141872,captive,4/10/20,48.57142857,7.7361,YJ52,OA13
OD61,F,187,2021,4/20/21,141871,captive,141872,captive,4/10/20,53.57142857,7.7361,YJ52,OA13
OD02,F,188,2021,2/9/21,141881,captive,141882,captive,4/10/20,43.57142857,8.89625,YL34,OG06
OD10,F,190,2021,2/23/21,141901,captive,141902,captive,4/10/20,45.57142857,8.7036,YC60,YN15
OD08,F,193,2021,2/23/21,141931,captive,141932,wild,4/10/20,45.57142857,5.77125,YT11,RZ22
OD09,F,193,2021,2/23/21,141931,captive,141932,wild,4/10/20,45.57142857,5.77125,YT11,RZ22
OF39,F,198,2021,4/6/21,141981,captive,141982,captive,4/14/20,51,8.01395,YL47,YO30
OG01,F,204,2021,2/3/21,142041,wild,142042,captive,4/17/20,41.71428571,3.9707,RZ07,OG16
OG28,F,205,2021,3/16/21,142051,captive,142052,captive,4/21/20,47,8.99,YC61,GW69
OG09,F,205,2021,3/2/21,142051,captive,142052,captive,4/21/20,45,8.99,YC61,GW69
OG11,F,205,2021,3/2/21,142051,captive,142052,captive,4/21/20,45,8.99,YC61,GW69
OG27,F,206,2021,3/16/21,142061,captive,142062,captive,4/21/20,47,7.81615,YD53,YK43
OG21,F,207,2021,3/16/21,142071,captive,142072,captive,4/21/20,47,7.56275,YH98,YX31
OG45,F,207,2021,4/6/21,142071,captive,142072,captive,4/21/20,50,7.56275,YH98,YX31
OH06,F,208,2021,3/2/21,142081,captive,142082,captive,4/21/20,45,7.2031,YR44,YR98
OG22,F,208,2021,3/16/21,142081,captive,142082,captive,4/21/20,47,7.2031,YR44,YR98
OH13,F,210,2021,3/16/21,142101,captive,142102,captive,4/21/20,47,6.28025,OA37,YR99
OH40,F,210,2021,4/6/21,142101,captive,142102,captive,4/21/20,50,6.28025,OA37,YR99
OH37,F,210,2021,4/6/21,142101,captive,142102,captive,4/21/20,50,6.28025,OA37,YR99
OH04,F,212,2021,3/2/21,142121,wild,142122,captive,4/21/20,45,5.24485,RZ74,OF38
OG48,F,212,2021,4/6/21,142121,wild,142122,captive,4/21/20,50,5.24485,RZ74,OF38
OH47,F,215,2021,4/20/21,142151,captive,142152,captive,4/24/20,51.57142857,7.48165,YG95,YJ80
OH11,F,216,2021,3/16/21,142161,captive,142162,captive,4/24/20,46.57142857,7.33645,YI40,YT62
OH09,F,216,2021,3/16/21,142161,captive,142162,captive,4/24/20,46.57142857,7.33645,YI40,YT62
OH42,F,216,2021,4/6/21,142161,captive,142162,captive,4/24/20,49.57142857,7.33645,YI40,YT62
OJ28,F,218,2021,4/6/21,142181,captive,142182,captive,4/24/20,49.57142857,6.87135,YR37,OB10
OH01,F,219,2021,3/2/21,142191,captive,142192,wild,4/24/20,44.57142857,4.69775,YS18,RZ41
OH39,F,219,2021,4/6/21,142191,captive,142192,wild,4/24/20,49.57142857,4.69775,YS18,RZ41
OI30,F,226,2021,4/6/21,142261,wild,142262,captive,4/24/20,49.57142857,3.79565,RZ10,YV36
OI02,F,227,2021,3/17/21,142271,captive,142272,captive,4/24/20,46.71428571,8.26465,YI73,YV37
OI01,F,227,2021,3/17/21,142271,captive,142272,captive,4/24/20,46.71428571,8.26465,YI73,YV37
OI34,F,227,2021,4/6/21,142271,captive,142272,captive,4/24/20,49.57142857,8.26465,YI73,YV37
OJ50,F,231,2021,4/27/21,142311,captive,142312,captive,4/28/20,52,8.4573,YH61,YL68
OJ27,F,236,2021,4/6/21,142361,captive,142362,captive,4/28/20,49,6.771,YS50,YK55
OJ47,F,237,2021,4/27/21,142371,captive,142372,captive,4/28/20,52,7.2361,YV19,YO50
OK01,F,238,2021,3/23/21,142381,captive,142382,captive,4/28/20,47,8.71875,YV49,YF07
OK06,F,240,2021,3/23/21,142401,captive,142402,captive,4/28/20,47,7.2207,OG48,YD82
OK20,F,240,2021,4/7/21,142401,captive,142402,captive,4/28/20,49.14285714,7.2207,OG48,YD82
OL14,F,243,2021,3/23/21,142431,captive,142432,captive,5/1/20,46.57142857,7.3096,YA98,OC18
OL16,F,244,2021,3/23/21,142441,captive,142442,captive,5/1/20,46.57142857,8.43285,YF60,YK40
OL23,F,244,2021,4/7/21,142441,captive,142442,captive,5/1/20,48.71428571,8.43285,YF60,YK40
ON00,F,248,2021,3/23/21,142481,captive,142482,captive,5/1/20,46.57142857,9.1372,YS41,YN82
OO00,F,250,2021,3/23/21,142501,captive,142502,captive,5/1/20,46.57142857,7.90845,YV23,YV41
