DateChecked,ID,Sex,PC,BY,BirthDate,Notes,DamGenID,DamSource,SireGenID,SireSource,TimeToRipen,Domestication_Index,DamID,SireID
2/16/21,YG24,F,41,2020,2/18/20,assigned via Colony - uncertain,140411,captive,140412,captive,52,8.5686,YA35,YF08
2/16/21,YF33,F,36,2020,2/14/20,,140361,captive,140362,captive,52.57142857,8.365,YK06,YF05
2/16/21,YC18,F,24,2020,2/7/20,,140241,captive,140242,captive,53.57142857,9.0198,YF29,YI12
2/16/21,YB60,F,13,2020,1/31/20,,140131,captive,140132,captive,54.57142857,5.6599,YP06,YD11
2/16/21,YB69,F,10,2020,1/31/20,,140101,captive,140102,captive,54.57142857,7.83175,YK02,YB27
2/16/21,YA34,F,7,2020,1/28/20,,140071,captive,140072,captive,55,8.51905,YS03,YA00
2/16/21,YA45,F,6,2020,1/28/20,,140061,captive,140062,captive,55,8.32445,YR00,YT00
2/16/21,YA78,F,6,2020,1/28/20,,140061,captive,140062,captive,55,8.32445,YR00,YT00
2/16/21,YA74,F,2,2020,1/28/20,,140021,captive,140022,captive,55,9.15845,YJ23,YA08
2/19/21,YK11,F,68,2020,2/28/20,,140681,captive,140682,captive,51,8.63915,YS04,YD00
2/19/21,YK42,F,67,2020,2/28/20,,140671,captive,140672,captive,51,9.0469,YO12,YB47
2/19/21,YI27,F,58,2020,2/25/20,,140581,captive,140582,captive,51.42857143,8.9009,YA33,YG52
2/19/21,YF29,F,36,2020,2/14/20,,140361,captive,140362,captive,53,8.365,YK06,YF05
2/19/21,YB68,F,11,2020,1/31/20,,140111,captive,140112,captive,55,8.25905,YN04,YC15
2/19/21,YB11,F,10,2020,1/31/20,,140101,captive,140102,captive,55,7.83175,YK02,YB27
2/23/21,OB04,F,166,2020,4/7/20,,141661,captive,141662,captive,46,8.1697,YC59,OC05
2/23/21,OB03,F,156,2020,4/3/20,,141561,captive,141562,captive,46.57142857,9.24465,YX17,YF41
2/23/21,OA39,F,148,2020,3/31/20,,141481,captive,141482,captive,47,8.55325,OD03,OH26
2/23/21,OA41,F,148,2020,3/31/20,,141481,captive,141482,captive,47,8.55325,OD03,OH26
2/23/21,YX25,F,137,2020,3/31/20,,141371,captive,141372,captive,47,8.0266,YA71,OC20
2/23/21,YO00,F,97,2020,3/10/20,,140971,captive,140972,captive,50,8.39795,YR11,OD05
2/23/21,YK12,F,68,2020,2/28/20,,140681,captive,140682,captive,51.57142857,8.63915,YS04,YD00
2/23/21,YK14,F,68,2020,2/28/20,,140681,captive,140682,captive,51.57142857,8.63915,YS04,YD00
2/23/21,YI57,F,56,2020,2/21/20,,140561,captive,140562,captive,52.57142857,6.98485,YK11,YR14
2/23/21,YH39,F,50,2020,2/18/20,,140501,captive,140502,captive,53,8.49315,YK08,YB48
2/23/21,YG43,F,38,2020,2/18/20,,140381,wild,140382,captive,53,4.8296,RZ04,YH13
2/23/21,YD03,F,31,2020,2/14/20,,140311,captive,140312,captive,53.57142857,9.13085,YA64,YX00
2/23/21,YD40,F,29,2020,2/11/20,WP,140291,captive,140292,wild,54,4.9541,YJ51,RZ17
2/23/21,YD05,F,27,2020,2/7/20,,140271,captive,140272,captive,54.57142857,9.6255,YH34,YF04
2/23/21,YC21,F,23,2020,2/7/20,assigned via Colony - uncertain,140231,captive,140232,captive,54.57142857,7.2744,YC24,YI23
2/23/21,YC24,F,23,2020,2/7/20,assigned via Colony - uncertain,140231,captive,140232,captive,54.57142857,7.2744,YC24,YI23
2/23/21,YC10,F,21,2020,2/4/20,,140211,captive,140212,captive,55,9.04465,YH38,YC07
2/23/21,YC73,F,19,2020,2/4/20,,140191,captive,140192,captive,55,9.06495,YP05,YC00
2/23/21,YB61,F,15,2020,2/4/20,,140151,captive,140152,captive,55,8.04415,YD24,OF04
2/23/21,YB32,F,11,2020,1/31/20,,140111,captive,140112,captive,55.57142857,8.25905,YN04,YC15
2/23/21,YB67,F,11,2020,1/31/20,,140111,captive,140112,captive,55.57142857,8.25905,YN04,YC15
2/23/21,YB16,F,10,2020,1/31/20,,140101,captive,140102,captive,55.57142857,7.83175,YK02,YB27
2/23/21,YA76,F,6,2020,1/28/20,,140061,captive,140062,captive,56,8.32445,YR00,YT00
2/23/21,YA48,F,5,2020,1/28/20,,140051,captive,140052,captive,56,8.6111,YO07,YA04
2/23/21,YA35,F,4,2020,1/28/20,,140041,captive,140042,captive,56,7.90235,YL16,YA06
2/23/21,YA82,F,2,2020,1/28/20,,140021,captive,140022,captive,56,9.15845,YJ23,YA08
2/26/21,OC06,F,173,2020,4/7/20,,141731,captive,141732,captive,46.42857143,8.8987,OD12,YH60
2/26/21,OA32,F,146,2020,3/31/20,,141461,captive,141462,captive,47.42857143,8.7998,YR45,YF49
2/26/21,YV00,F,127,2020,3/20/20,,141271,captive,141272,captive,49,8.47215,OD11,YP00
2/26/21,YI38,F,55,2020,2/21/20,,140551,captive,140552,captive,53,8.6294,YC27,YL17
2/26/21,YH23,F,52,2020,2/18/20,,140521,captive,140522,captive,53.42857143,8.11255,OF02,YB39
2/26/21,YH19,F,50,2020,2/18/20,,140501,captive,140502,captive,53.42857143,8.49315,YK08,YB48
2/26/21,YH13,F,49,2020,2/18/20,,140491,captive,140492,captive,53.42857143,8.3362,YI22,YP02
2/26/21,YG10,F,41,2020,2/18/20,assigned via Colony - uncertain,140411,captive,140412,captive,53.42857143,8.5686,YA35,YF08
2/26/21,YG31,F,39,2020,2/18/20,,140391,wild,140392,captive,53.42857143,3.9021,RZ07,YJ43
2/26/21,YD47,F,31,2020,2/14/20,,140311,captive,140312,captive,54,9.13085,YA64,YX00
2/26/21,YD00,F,26,2020,2/7/20,,140261,captive,140262,captive,55,8.60595,YG30,YD07
2/26/21,YD39,F,26,2020,2/7/20,,140261,captive,140262,captive,55,8.60595,YG30,YD07
2/26/21,YD71,F,26,2020,2/7/20,,140261,captive,140262,captive,55,8.60595,YG30,YD07
2/26/21,YD02,F,25,2020,2/7/20,,140251,captive,140252,captive,55,8.91995,YF32,YI17
2/26/21,YC16,F,23,2020,2/7/20,assigned via Colony - uncertain,140231,captive,140232,captive,55,7.2744,YC24,YI23
2/26/21,YC19,F,23,2020,2/7/20,assigned via Colony - uncertain,140231,captive,140232,captive,55,7.2744,YC24,YI23
2/26/21,YC17,F,22,2020,2/4/20,,140221,captive,140222,captive,55.42857143,7.27125,YH41,YJ14
2/26/21,YB13,F,16,2020,2/4/20,,140161,captive,140162,captive,55.42857143,6.8867,YG31,YJ44
2/26/21,YB53,F,16,2020,2/4/20,,140161,captive,140162,captive,55.42857143,6.8867,YG31,YJ44
2/26/21,YB14,F,11,2020,1/31/20,,140111,captive,140112,captive,56,8.25905,YN04,YC15
2/26/21,YB32,F,11,2020,1/31/20,,140111,captive,140112,captive,56,8.25905,YN04,YC15
2/26/21,YB10,F,9,2020,1/28/20,,140091,captive,140092,captive,56.42857143,9.5444,YN01,YC08
2/26/21,YA09,F,4,2020,1/28/20,,140041,captive,140042,captive,56.42857143,7.90235,YL16,YA06
3/2/21,OB26,F,166,2020,4/7/20,,141661,captive,141662,captive,47,8.1697,YC59,OC05
3/2/21,OA35,F,164,2020,4/3/20,,141641,captive,141642,captive,47.57142857,7.55615,YJ54,YN27
3/2/21,OB23,F,156,2020,4/3/20,,141561,captive,141562,captive,47.57142857,9.24465,YX17,YF41
3/2/21,OA00,F,153,2020,4/3/20,,141531,captive,141532,captive,47.57142857,8.4209,YI46,YA01
3/2/21,OA57,F,153,2020,4/3/20,,141531,captive,141532,captive,47.57142857,8.4209,YI46,YA01
3/2/21,OA55,F,146,2020,3/31/20,,141461,captive,141462,captive,48,8.7998,YR45,YF49
3/2/21,YX08,F,137,2020,3/31/20,,141371,captive,141372,captive,48,8.0266,YA71,OC20
3/2/21,YX40,F,136,2020,3/26/20,,141361,captive,141362,wild,48.71428571,5.0935,YP17,RZ66
3/2/21,YO11,F,97,2020,3/10/20,,140971,captive,140972,captive,51,8.39795,YR11,OD05
3/2/21,YI03,F,59,2020,2/25/20,,140591,captive,140592,captive,53,8.19095,YA75,YL19
3/2/21,YI58,F,59,2020,2/25/20,,140591,captive,140592,captive,53,8.19095,YA75,YL19
3/2/21,YI39,F,58,2020,2/25/20,,140581,captive,140582,captive,53,8.9009,YA33,YG52
3/2/21,YH22,F,52,2020,2/18/20,,140521,captive,140522,captive,54,8.11255,OF02,YB39
3/2/21,YH38,F,51,2020,2/18/20,,140511,captive,140512,captive,54,7.96945,YL06,YJ42
3/2/21,YH37,F,50,2020,2/18/20,,140501,captive,140502,captive,54,8.49315,YK08,YB48
3/2/21,YH10,F,47,2020,2/18/20,,140471,captive,140472,captive,54,8.67605,YI05,YG00
3/2/21,YG11,F,41,2020,2/18/20,assigned via Colony - uncertain,140411,captive,140412,captive,54,8.5686,YA35,YF08
3/2/21,YG23,F,41,2020,2/18/20,assigned via Colony - uncertain,140411,captive,140412,captive,54,8.5686,YA35,YF08
3/2/21,YD08,F,31,2020,2/14/20,,140311,captive,140312,captive,54.57142857,9.13085,YA64,YX00
3/2/21,YD04,F,27,2020,2/7/20,,140271,captive,140272,captive,55.57142857,9.6255,YH34,YF04
3/2/21,YC16,F,23,2020,2/7/20,assigned via Colony - uncertain,140231,captive,140232,captive,55.57142857,7.2744,YC24,YI23
3/2/21,YC13,F,21,2020,2/4/20,,140211,captive,140212,captive,56,9.04465,YH38,YC07
3/2/21,YB63,F,9,2020,1/28/20,,140091,captive,140092,captive,57,9.5444,YN01,YC08
3/2/21,YA81,F,6,2020,1/28/20,,140061,captive,140062,captive,57,8.32445,YR00,YT00
3/2/21,YA83,F,4,2020,1/28/20,,140041,captive,140042,captive,57,7.90235,YL16,YA06
3/2/21,YA79,F,3,2020,1/28/20,,140031,captive,140032,captive,57,8.0542,YL14,YB13
3/5/21,OC14,F,173,2020,4/7/20,,141731,captive,141732,captive,47.42857143,8.8987,OD12,YH60
3/5/21,OA59,F,164,2020,4/3/20,,141641,captive,141642,captive,48,7.55615,YJ54,YN27
3/5/21,OB30,F,154,2020,4/3/20,,141541,captive,141542,captive,48,8.06595,YI36,OH27
3/5/21,YI24,F,56,2020,2/21/20,,140561,captive,140562,captive,54,6.98485,YK11,YR14
3/5/21,YG33,F,39,2020,2/18/20,,140391,wild,140392,captive,54.42857143,3.9021,RZ07,YJ43
3/5/21,YF10,F,36,2020,2/14/20,,140361,captive,140362,captive,55,8.365,YK06,YF05
3/5/21,YF36,F,36,2020,2/14/20,,140361,captive,140362,captive,55,8.365,YK06,YF05
3/5/21,YA47,F,4,2020,1/28/20,,140041,captive,140042,captive,57.42857143,7.90235,YL16,YA06
3/9/21,YX01,F,139,2020,3/31/20,,141391,captive,141392,captive,49,9.48295,YF47,OG33
3/9/21,YX41,F,137,2020,3/31/20,,141371,captive,141372,captive,49,8.0266,YA71,OC20
3/9/21,YO02,F,95,2020,3/10/20,,140951,wild,140952,captive,52,3.6743,RZ13,OH11
3/9/21,YL06,F,73,2020,3/3/20,,140731,captive,140732,captive,53,8.781,YK04,YV00
3/9/21,YK13,F,68,2020,2/28/20,,140681,captive,140682,captive,53.57142857,8.63915,YS04,YD00
3/9/21,YK82,F,68,2020,2/28/20,,140681,captive,140682,captive,53.57142857,8.63915,YS04,YD00
3/9/21,YI78,F,55,2020,2/21/20,,140551,captive,140552,captive,54.57142857,8.6294,YC27,YL17
3/9/21,YI54,F,53,2020,2/18/20,,140531,captive,140532,captive,55,8.85695,YO01,YN24
3/9/21,YI74,F,53,2020,2/18/20,,140531,captive,140532,captive,55,8.85695,YO01,YN24
3/9/21,YI77,F,53,2020,2/18/20,,140531,captive,140532,captive,55,8.85695,YO01,YN24
3/9/21,YI81,F,53,2020,2/18/20,,140531,captive,140532,captive,55,8.85695,YO01,YN24
3/9/21,YH71,F,52,2020,2/18/20,,140521,captive,140522,captive,55,8.11255,OF02,YB39
3/9/21,YH79,F,52,2020,2/18/20,,140521,captive,140522,captive,55,8.11255,OF02,YB39
3/9/21,YH72,F,49,2020,2/18/20,,140491,captive,140492,captive,55,8.3362,YI22,YP02
3/9/21,YH73,F,49,2020,2/18/20,,140491,captive,140492,captive,55,8.3362,YI22,YP02
3/9/21,YH74,F,49,2020,2/18/20,,140491,captive,140492,captive,55,8.3362,YI22,YP02
3/9/21,YH75,F,46,2020,2/18/20,,140461,captive,140462,captive,55,8.62695,YI07,YK19
3/9/21,YG57,F,44,2020,2/18/20,,140441,captive,140442,captive,55,7.67065,YH24,YA82
3/9/21,YD93,F,32,2020,2/14/20,,140321,captive,140322,wild,55.57142857,5.0852,YD42,RZ20
3/9/21,YD73,F,27,2020,2/7/20,,140271,captive,140272,captive,56.57142857,9.6255,YH34,YF04
3/9/21,YD89,F,27,2020,2/7/20,,140271,captive,140272,captive,56.57142857,9.6255,YH34,YF04
3/9/21,YD69,F,26,2020,2/7/20,,140261,captive,140262,captive,56.57142857,8.60595,YG30,YD07
3/9/21,YD06,F,25,2020,2/7/20,,140251,captive,140252,captive,56.57142857,8.91995,YF32,YI17
3/9/21,YD33,F,25,2020,2/7/20,,140251,captive,140252,captive,56.57142857,8.91995,YF32,YI17
3/9/21,YB94,F,10,2020,1/31/20,,140101,captive,140102,captive,57.57142857,7.83175,YK02,YB27
3/9/21,YA96,F,3,2020,1/28/20,,140031,captive,140032,captive,58,8.0542,YL14,YB13
3/12/21,OC07,F,175,2020,4/7/20,,141751,captive,141752,captive,48.42857143,9.4839,OG24,OF65
3/12/21,YO10,F,97,2020,3/10/20,,140971,captive,140972,captive,52.42857143,8.39795,YR11,OD05
3/12/21,YO12,F,97,2020,3/10/20,,140971,captive,140972,captive,52.42857143,8.39795,YR11,OD05
3/12/21,YN08,F,82,2020,3/6/20,,140821,captive,140822,wild,53,5.77125,YT15,RZ34
3/12/21,YL05,F,73,2020,3/3/20,,140731,captive,140732,captive,53.42857143,8.781,YK04,YV00
3/12/21,YI75,F,54,2020,2/21/20,,140541,wild,140542,captive,55,4.3667,RZ05,YN18
3/12/21,YI54,F,53,2020,2/18/20,,140531,captive,140532,captive,55.42857143,8.85695,YO01,YN24
3/12/21,YI82,F,53,2020,2/18/20,,140531,captive,140532,captive,55.42857143,8.85695,YO01,YN24
3/12/21,YH77,F,49,2020,2/18/20,,140491,captive,140492,captive,55.42857143,8.3362,YI22,YP02
3/12/21,YG32,F,41,2020,2/18/20,,140411,captive,140412,captive,55.42857143,8.5686,YA35,YF08
3/12/21,YG42,F,41,2020,2/18/20,,140411,captive,140412,captive,55.42857143,8.5686,YA35,YF08
3/12/21,YG60,F,41,2020,2/18/20,,140411,captive,140412,captive,55.42857143,8.5686,YA35,YF08
3/12/21,YG62,F,41,2020,2/18/20,,140411,captive,140412,captive,55.42857143,8.5686,YA35,YF08
3/12/21,YF73,F,37,2020,2/14/20,,140371,captive,140372,captive,56,8.75295,YF40,YJ09
3/12/21,YF13,F,36,2020,2/14/20,,140361,captive,140362,captive,56,8.365,YK06,YF05
3/12/21,YF35,F,36,2020,2/14/20,,140361,captive,140362,captive,56,8.365,YK06,YF05
3/12/21,YF74,F,36,2020,2/14/20,,140361,captive,140362,captive,56,8.365,YK06,YF05
3/12/21,YF66,F,34,2020,2/14/20,,140341,captive,140342,captive,56,7.4873,YD19,OG00
3/12/21,YF53,F,33,2020,2/14/20,,140331,captive,140332,captive,56,7.26245,YD20,YJ59
3/12/21,YF69,F,33,2020,2/14/20,,140331,captive,140332,captive,56,7.26245,YD20,YJ59
3/12/21,YD45,F,32,2020,2/14/20,,140321,captive,140322,wild,56,5.0852,YD42,RZ20
3/12/21,YD76,F,29,2020,2/11/20,,140291,captive,140292,wild,56.42857143,4.9541,YJ51,RZ17
3/12/21,YD31,F,26,2020,2/7/20,,140261,captive,140262,captive,57,8.60595,YG30,YD07
3/12/21,YC23,F,23,2020,2/7/20,,140231,captive,140232,captive,57,7.2744,YC24,YI23
3/16/21,OD02,F,188,2020,4/10/20,,141881,captive,141882,captive,48.57142857,8.89625,YL34,OG06
3/16/21,OD00,F,187,2020,4/10/20,,141871,captive,141872,captive,48.57142857,7.7361,YJ52,OA13
3/16/21,OC02,F,173,2020,4/7/20,,141731,captive,141732,captive,49,8.8987,OD12,YH60
3/16/21,OA02,F,164,2020,4/3/20,,141641,captive,141642,captive,49.57142857,7.55615,YJ54,YN27
3/16/21,OA56,F,163,2020,4/3/20,,141631,wild,141632,captive,49.57142857,3.2737,RZ56,OH07
3/16/21,OB25,F,154,2020,4/3/20,,141541,captive,141542,captive,49.57142857,8.06595,YI36,OH27
3/16/21,OA79,F,153,2020,4/3/20,,141531,captive,141532,captive,49.57142857,8.4209,YI46,YA01
3/16/21,OA81,F,148,2020,3/31/20,,141481,captive,141482,captive,50,8.55325,OD03,OH26
3/16/21,OA80,F,146,2020,3/31/20,,141461,captive,141462,captive,50,8.7998,YR45,YF49
3/16/21,YX39,F,139,2020,3/31/20,,141391,captive,141392,captive,50,9.48295,YF47,OG33
3/16/21,YX20,F,136,2020,3/26/20,,141361,captive,141362,wild,50.71428571,5.0935,YP17,RZ66
3/16/21,YX64,F,136,2020,3/26/20,,141361,captive,141362,wild,50.71428571,5.0935,YP17,RZ66
3/16/21,YS00,F,117,2020,3/17/20,,141171,captive,141172,captive,52,8.199,YX18,OC13
3/16/21,YR01,F,114,2020,3/17/20,,141141,captive,141142,wild,52,4.0581,YR17,RZ60
3/16/21,YP15,F,97,2020,3/10/20,,140971,captive,140972,captive,53,8.39795,YR11,OD05
3/16/21,YN26,F,84,2020,3/6/20,,140841,captive,140842,wild,53.57142857,5.0381,YN36,RZ22
3/16/21,YN23,F,83,2020,3/6/20,,140831,captive,140832,wild,53.57142857,4.47315,YI38,RZ32
3/16/21,YN29,F,82,2020,3/6/20,,140821,captive,140822,wild,53.57142857,5.77125,YT15,RZ34
3/16/21,YO30,F,82,2020,3/6/20,,140821,captive,140822,wild,53.57142857,5.77125,YT15,RZ34
3/16/21,YK36,F,68,2020,2/28/20,,140681,captive,140682,captive,54.57142857,8.63915,YS04,YD00
3/16/21,YJ02,F,66,2020,2/28/20,,140661,captive,140662,wild,54.57142857,4.5364,YJ53,RZ30
3/16/21,YJ01,F,64,2020,2/25/20,,140641,captive,140642,wild,55,4.0342,YO14,RZ29
3/16/21,YJ05,F,64,2020,2/25/20,,140641,captive,140642,wild,55,4.0342,YO14,RZ29
3/16/21,YJ12,F,64,2020,2/25/20,,140641,captive,140642,wild,55,4.0342,YO14,RZ29
3/16/21,YJ10,F,61,2020,2/25/20,,140611,captive,140612,captive,55,7.1377,YJ22,YJ10
3/16/21,YI79,F,58,2020,2/25/20,,140581,captive,140582,captive,55,8.9009,YA33,YG52
3/16/21,YJ57,F,57,2020,2/21/20,,140571,captive,140572,wild,55.57142857,2.6577,YN13,RZ16
3/16/21,YI73,F,55,2020,2/21/20,,140551,captive,140552,captive,55.57142857,8.6294,YC27,YL17
3/16/21,YH70,F,50,2020,2/18/20,,140501,captive,140502,captive,56,8.49315,YK08,YB48
3/16/21,YH36,F,46,2020,2/18/20,,140461,captive,140462,captive,56,8.62695,YI07,YK19
3/16/21,YF70,F,37,2020,2/14/20,,140371,captive,140372,captive,56.57142857,8.75295,YF40,YJ09
3/16/21,YF49,F,34,2020,2/14/20,,140341,captive,140342,captive,56.57142857,7.4873,YD19,OG00
3/16/21,YF72,F,34,2020,2/14/20,,140341,captive,140342,captive,56.57142857,7.4873,YD19,OG00
3/16/21,YD41,F,26,2020,2/7/20,,140261,captive,140262,captive,57.57142857,8.60595,YG30,YD07
3/16/21,YD46,F,25,2020,2/7/20,,140251,captive,140252,captive,57.57142857,8.91995,YF32,YI17
3/16/21,YC56,F,23,2020,2/7/20,,140231,captive,140232,captive,57.57142857,7.2744,YC24,YI23
3/16/21,YC75,F,19,2020,2/4/20,,140191,captive,140192,captive,58,9.06495,YP05,YC00
3/16/21,YB64,F,17,2020,2/4/20,,140171,captive,140172,wild,58,3.34865,YJ35,RZ00
3/16/21,YB62,F,13,2020,1/31/20,,140131,captive,140132,captive,58.57142857,5.6599,YP06,YD11
3/16/21,YB19,F,11,2020,1/31/20,,140111,captive,140112,captive,58.57142857,8.25905,YN04,YC15
3/16/21,YB54,F,11,2020,1/31/20,,140111,captive,140112,captive,58.57142857,8.25905,YN04,YC15
3/16/21,YB59,F,11,2020,1/31/20,,140111,captive,140112,captive,58.57142857,8.25905,YN04,YC15
3/16/21,YB65,F,11,2020,1/31/20,,140111,captive,140112,captive,58.57142857,8.25905,YN04,YC15
3/19/21,OD10,F,190,2020,4/10/20,,141901,captive,141902,captive,49,8.7036,YC60,YN15
3/19/21,OC10,F,175,2020,4/7/20,,141751,captive,141752,captive,49.42857143,9.4839,OG24,OF65
3/19/21,OC12,F,173,2020,4/7/20,,141731,captive,141732,captive,49.42857143,8.8987,OD12,YH60
3/19/21,OA58,F,149,2020,3/31/20,,141491,captive,141492,captive,50.42857143,8.17455,OG35,OF34
